city,country
Paris,France
Nice,France
Toulouse,France
Marseille,France
Rennes,France
Grenoble,France
Nantes,France
Montpellier,France
Lyon,France
Rouen,France
Strasbourg,France
Nancy,France
Metz,France
Brest,France
Mulhouse,France
Limoges,France
Orléans,France
Bordeaux,France
Le Havre,France
Lille,France
Reims,France
Saint-Étienne,France
Toulon,France
Dijon,France

